mp_3099					
first_init					
init					
bossfirst					
0x1068	0xCE	Objective		Out of our way! Nayuta, let's finish it together!	
0x5dcf	0x07	System	#3C	Quest [Lost Power] started!	
QS_44_quest_end					
0x61d8	0x98	Algorl		...Nayuta, Noi.	
				Could it be...?	
0x6228	0x06	ALTO		ANI_NOD	
0x624d	0x98	ALTO	#6A	Yes, we managed to get	
				the jewel to shine.	
0x62cc	0x06	ALTO		ANI_HANDOVER	
0x6322	0x40	UNDEF		Handed over the Colored Jewel.	
0x63e1	0x98	Algorl		Certainly...	
				You have done well in gathering	
				all of my scattered power.	
0x6448	0x06	NOI		ANI_GESTURE2	
0x6471	0x98	NOI	#6A	Will this restore your power	
				back to normal now?	
0x64e7	0x98	Algorl		Hmm. Please wait a moment.	
0x6545	0x40	UNDEF		Algol took the Colored Jewel	
				into his body.	
0x6598	0x06	Algorl		ANI_USE_POWER	
0x660d	0x98	Algorl	#0W	............	
				...Kooooo...	
0x66a6	0x6B	ALTO		Unknown	
0x66d8	0x6B	NOI		Unknown	
0x6711	0x06	ALTO		ANI_SURPRISE_WEAK	
0x6740	0x98	ALTO	#6A	I-Is this...!?	mp_0115a 0x6232
0x6770	0x06	NOI		ANI_GESTURE1	
0x6799	0x98	NOI	#6A	Algol's colossal power is 	
				affecting the environment!	
0x6801	0x98	Algorl	#0W	..................	mp_0002 0x1b64
0x684a	0x98	Algorl	#18S	......Kaa!!	
0x69b6	0x6B	ALTO		Exclamation	
0x69e8	0x6B	NOI		Exclamation	
0x6a19	0x06	ALTO		ANI_SURPRISE	
0x6a43	0x98	ALTO	#6A	A-Amazing!	
				Even I can tell he's full	
				of tremendous power!!	
0x6aab	0x06	NOI		ANI_JOY	
0x6acf	0x98	NOI	#6A	I'm gonna get blown away!	
0x6b07	0x06	NOI		ANI_WAIT	
0x6ba7	0x06	Algorl		ANI_WAIT	
0x6bcf	0x98	Algorl		...Hmm, that's the way to do it.	
0x6c09	0x6B	NOI		Unknown	
0x6c3a	0x06	NOI		ANI_GUTSPOSE	
0x6c63	0x98	NOI	#6A	W-We did it!	
				Algol's power	
				is restored!	
0x6cab	0x98	NOI	#6A	Now that Algol has his true power,	
				we have nothing to fear from Zext!	
0x6d39	0x98	Algorl		...No, it is not that simple.	
0x6d78	0x98	Algorl		With my power, I can	
				certainly hold him back	
				for a short while, but..	
0x6de5	0x98	Algorl		In the end, that would be all I could do. Although	
				the head of the Mitos may have been corrupted,	
				he is still the creator of this world of Terra.	
0x6e8f	0x98	Algorl		This particular matter...	
				It's far beyond the power of	
				any single warden to solve it.	
0x6f13	0x06	NOI		ANI_DEJECTED	
0x6f3c	0x98	NOI	#6A	Y-You're right...	
0x6f6f	0x06	ALTO		ANI_GESTURE1	
0x6f99	0x98	ALTO	#6A	Certainly... We don't even	
				know what they want to do,	
				so we can't rest easy.	
0x701c	0x98	Algorl		...In any case, thanks to	
				your efforts, my power has	
				been completely recovered.	
0x7086	0x98	Algorl		I must thank you,	
				Nayuta and Noi.	
0x70cd	0x06	ALTO		ANI_DENY	
0x70f3	0x98	ALTO	#6A	No, we only did what	
				anyone would do.	
0x7138	0x06	NOI		ANI_GESTURE1	
0x7161	0x98	NOI	#6A	In our hour of need, we need you	
				to use that power to help us!	
0x71d6	0x98	Algorl		Hmm... You can count on me.	
0x7213	0x98	Algorl		And... please, take this.	
0x7266	0xC1	System		received.	mp_0000 0x12596
0x73b9	0x07	System	#1C	Noi learned the autumn magic, #4C『#786IGrand Terror』.	
0x7437	0x06	NOI		ANI_GESTURE2	
0x7460	0x98	NOI	#6A	This art...!	
				Seems super strong!	
0x74ab	0x98	Algorl		I shared a portion of my	
				recovered power with you, Noi.	
				...Use it wisely.	
0x7512	0x06	ALTO		ANI_THANKS	
0x753a	0x98	ALTO	#6A	Haha, thank you very much.	
0x75b9	0x98	Algorl		In the coming days, you will	mp_3099 0x377b
				face countless trials, but...	
				you must never give up.	
0x7622	0x98	Algorl		For Terra and Lady Creha...	mp_3099 0x37e4
				Please, take care of them.	
0x76b4	0x07	System	#3C	Quest [Lost Power] completed!	
QS_44_quake_start					
QS_44_quake_end					
QS_54_talk_Algorl					
0x7bb2	0x06	Algorl		ANI_GESTURE2	
0x7bde	0x98	Algorl		So, Noi and Nayuta...	
				What is the matter? It seems there	
				is something you want to say.	
0x7c51	0x06	ALTO		ANI_GESTURE2	
0x7c7b	0x98	ALTO	#6A	Yes, I have a favor	
				to ask of you, Algol.	
0x7cc5	0x40	UNDEF		Nayuta explained what happened to Algol,	
				and asked if he had any idea where to	
				find Nemeas' missing nymphs.	
0x7d40	0x98	Algorl		Is that so...?	
				That must be very	
				difficult for Nemeas.	
0x7d8d	0x06	Algorl		ANI_NOD	
0x7db4	0x98	Algorl		Very well. I shall lend	
				you my power as warden.	
0x7e04	0x06	NOI		ANI_NOD	
0x7e28	0x98	NOI	#6A	Thank you, Algol!	
0x7e5b	0x06	NOI		ANI_THINK	
0x7e81	0x98	NOI	#6A	If the life signatures of any	
				of her nymphs are on this	
				continent, please tell us...	
0x7ef6	0x06	NOI		ANI_WAIT	
0x7f1b	0x06	Algorl		ANI_NOD	
0x7f42	0x98	Algorl		Acknowledged.	
				Please wait a moment...	
0x7f88	0x06	Algorl		ANI_USE_POWER	
0x8085	0x98	Algorl	#2W	Koooo...	
0x80ba	0x6B	Algorl		Exclamation	
0x8130	0x06	Algorl		ANI_NOD	
0x8157	0x98	Algorl		This signature...	
				Yes, no doubt remains.	
0x81c7	0x98	Algorl		It is most certainly that of Nemeas' nymph...	
				As expected, it was on this continent.	
0x8240	0x06	ALTO		ANI_GESTURE1	
0x826a	0x98	ALTO	#6A	Thank goodness... We might be able	mp_1099 0x96f7
				to do this faster than I thought.	
0x82c0	0x98	Algorl		However, I only sensed	
				one presence...	
0x8303	0x06	Algorl		ANI_GESTURE2	
0x832f	0x98	Algorl		I shall tell you its	
				location, in any case.	
0x837f	0x98	Algorl		I certainly detected the presence	
				of Nemeas' nymph─But it seems only	
				one exists on this continent.	
0x83ff	0x06	ALTO		ANI_GESTURE1	
0x8429	0x98	ALTO	#6A	Thank goodness... Do you know where?	mp_1099 0x98b9
0x8478	0x06	Algorl		ANI_GESTURE1	
0x84a4	0x98	Algorl		It was located near the	
				Canyon of Biting Wind in	
				southwestern Heimmel.	
0x8515	0x98	Algorl		It seemed considerably distraught,	
				you should try and go during the	
				normal season.	
0x858f	0x06	NOI		ANI_NOD	
0x85b3	0x98	NOI	#6A	Understood.	
				We'll make the season	
				autumn and take a look!	
0x8610	0x06	ALTO		ANI_JOY	
0x8635	0x98	ALTO	#6A	Algol, thank you so much!	
0x8673	0x06	Algorl		ANI_NOD	
0x869a	0x98	Algorl		Yes, you should help	
				it as soon as you can.	
quest_SpiritD					
0x8924	0x98	SpiritD		.......	
				...～～～...!	
0x8b71	0x06	ALTO		ANI_WAIT	
0x8b97	0x06	NOI		ANI_WAIT	
0x8bc2	0x6B	SpiritD		Exclamation	
0x8bf7	0x98	SpiritD		.........!	mp_1099 0xa0ad
0x8c24	0x06	SpiritD		ANI_NOD	
0x8c4c	0x98	SpiritD		...!....	
				.......!	
0x8c8d	0x6B	SpiritD		Coldsweat	
0x8cc2	0x06	SpiritD		ANI_DENY	
0x8ceb	0x98	SpiritD		...～.........	mp_2099 0x6ef5
				......～～～...!	
0x8d82	0x06	ALTO		ANI_GESTURE2	
0x8dac	0x98	ALTO		Hmm, it seems to be frantically	mp_1099 0xa22d
				trying to convey something...	
0x8e05	0x06	NOI		ANI_SURPRISE	
0x8e46	0x98	NOI	#6A	Oh, no... It seems that	mp_1099 0xa2c7
				a ferocious monster has	
				appeared on this continent!	
0x8ebb	0x06	NOI		ANI_COMPLAIN	
0x8ee4	0x98	NOI	#6A	It says it's in a bit of a tight	mp_1099 0xa365
				spot, and needs your help...!	
0x8f53	0x98	NOI	#6A	Hmm... It seems that a	mp_1099 0xa3d4
				ferocious monster has	
				appeared on this continent!	
0x8fc8	0x06	NOI		ANI_COMPLAIN	
0x8ff1	0x98	NOI	#6A	It says it's in a bit of a tight	mp_1099 0xa365
				spot, and needs your help...!	
0x9058	0x06	ALTO		ANI_THINK2	
0x9080	0x98	ALTO		A ferocious monster...	mp_1099 0xa501
				Could it be one of the monsters	
				that stole your magic, Noi?	
0x90ee	0x06	ALTO		ANI_WAIT	
0x9114	0x06	SpiritD		ANI_DENY	
0x913d	0x98	SpiritD		.............	mp_1099 0xa5be
				............!	
0x9177	0x06	SpiritD		ANI_NOD	
0x919f	0x98	SpiritD		...～～～～...	mp_1099 0xa620
0x91d0	0x06	NOI		ANI_DENY	
0x920d	0x98	NOI	#6A	It says it's not one of those,	mp_1099 0xa68e
				but it's just as powerful, or more...	
0x9274	0x06	NOI		ANI_COMPLAIN	
0x929d	0x98	NOI	#6A	'Unnatural creatures, spawned by the	mp_1099 0xa71e
				abnormalities, have been wandering	
				the world wreaking havoc.'	
0x932d	0x98	NOI	#6A	'If we don't do anything, a lot	mp_1099 0xa7ae
				of the fauna on this continent	
				are going to die!' it says.	
0x9384	0x06	NOI		ANI_DEJECTED	
0x93ad	0x98	NOI	#6A	This one normally patrols the continent,	mp_1099 0xaa58
				but it seems like they can't hold back	
				the abnormalities on their own anymore.	
0x9432	0x98	NOI	#6A	It says it's not one of those,	mp_1099 0xa8c5
				but it's just as powerful, or more...	
0x948f	0x06	NOI		ANI_COMPLAIN	
0x94b8	0x98	NOI	#6A	'Unnatural creatures, spawned by the	mp_1099 0xa71e
				abnormalities, have been wandering	
				the world wreaking havoc.'	
0x9548	0x98	NOI	#6A	'If we don't do anything, a lot	mp_1099 0xa7ae
				of the fauna on this continent	
				are going to die!' it says.	
0x959f	0x06	NOI		ANI_DEJECTED	
0x95c8	0x98	NOI	#6A	This one normally patrols the continent,	mp_1099 0xaa58
				but it seems like they can't hold back	
				the abnormalities on their own anymore.	
0x9645	0x06	SpiritD		ANI_NOD	
0x966d	0x98	SpiritD		.......	mp_1099 0xaafd
0x9697	0x06	ALTO		ANI_THINK	
0x96be	0x98	ALTO		The abnormalities...	mp_1099 0xab4e
0x9705	0x06	ALTO		ANI_NOD	
0x972a	0x98	ALTO		These little ones must	mp_1099 0xabba
				really be in a tough spot.	
0x9766	0x06	NOI		ANI_NOD	
0x97a2	0x98	NOI	#6A	Yeah... Since the temple is still shut down,	mp_1099 0xac32
				the nymphs have been working together	
				to support the continent.	
0x982f	0x06	NOI		ANI_DEJECTED	
0x9858	0x98	NOI	#6A	But they aren't very strong,	mp_1099 0xace8
				so it hasn't been easy...	
0x98c0	0x06	NOI		ANI_GESTURE1	
0x98e9	0x98	NOI	#6A	Hey, Nayuta. Here's a request from me as well.	mp_1099 0xad79
				Will you help me with this little one?	
0x995c	0x98	NOI	#6A	Yeah... Since the temple is still shut down,	mp_1099 0xadec
				the nymphs have been joining together	
				to support the continent.	
0x99de	0x06	NOI		ANI_DEJECTED	
0x9a07	0x98	NOI	#6A	But the nymphs aren't very strong,	mp_1099 0xae97
				so it seems to have been difficult...	
0x9a69	0x06	NOI		ANI_GESTURE1	
0x9a92	0x98	NOI	#6A	Hey, Nayuta. Here's a request from me as well.	mp_1099 0xaf22
				Will you help me with this little one?	
0x9af9	0x06	ALTO		ANI_GUTSPOSE	
0x9b23	0x98	ALTO		Yeah, of course!	mp_1099 0xafb3
0x9b53	0x06	ALTO		ANI_GESTURE2	
0x9b7d	0x98	ALTO		Hey, you, will you tell us	mp_1099 0xb00d
				where that monster appeared?	
0x9bdc	0x06	ALTO		ANI_GESTURE2	
0x9c06	0x98	ALTO		It seems to be frantically	mp_1099 0xb096
				trying to convey something...	
0x9c55	0x06	ALTO		ANI_THINK2	
0x9c7d	0x98	ALTO		Noi, what is it?	mp_1099 0xb10d
0x9cae	0x06	ALTO		ANI_WAIT	
0x9cd4	0x06	NOI		ANI_NOD	
0x9d10	0x98	NOI	#6A	It seems to be saying that	mp_1099 0xb1a0
				a ferocious monster has	
				appeared on this continent.	
0x9d7e	0x06	NOI		ANI_GESTURE1	
0x9da7	0x98	NOI	#6A	It says it's in a bit of a tight	mp_1099 0xb237
				spot, and needs your help...!	
0x9e12	0x98	NOI	#6A	Hmm, it looks like a ferocious	mp_1099 0xb2a2
				monster has appeared on this	
				continent as well.	
0x9e7f	0x06	NOI		ANI_GESTURE1	
0x9ea8	0x98	NOI	#6A	It says it's in a bit of a tight	mp_1099 0xb237
				spot, and needs your help...!	
0x9f0b	0x06	ALTO		ANI_NOD	
0x9f30	0x98	ALTO		Ha, got it. The Handyman Shop	mp_1099 0xb3c0
				will take care of this request.	
0x9f8a	0x06	ALTO		ANI_GESTURE2	
0x9fb4	0x98	ALTO		Can you tell us where	mp_1099 0xb444
				this monster appeared?	
0xa008	0x6B	SpiritD		Surprise	
0xa03d	0x06	SpiritD		ANI_NOD	
0xa06d	0x98	SpiritD		...～～～...!	
0xa09d	0x06	NOI		ANI_GESTURE2	
0xa0de	0x98	NOI	#6A	It said it appeared during the spring in	
				Heavenly Mountain, in midwestern Heimmel!	
0xa16b	0x98	NOI	#6A	It says it doesn't want to	mp_1099 0xb5ed
				force you to rush, so go when	
				you're ready and have time.	
0xa1ed	0x98	NOI	#6A	It seems to have appeared during	
				the spring in Heavenly Mountain,	
				in midwestern Heimmel!	
0xa27b	0x98	NOI	#6A	It doesn't want to force you to rush,	mp_1099 0xb6ef
				so go when you're ready and have time.	
0xa2f1	0x06	ALTO		ANI_NOD	
0xa316	0x98	ALTO		Understood. If we find it,	mp_1099 0xb78a
				we'll eliminate it.	
0xa363	0x06	ALTO		ANI_GESTURE2	
0xa38d	0x98	ALTO		Should we report to	mp_1099 0xb801
				you after we're done?	
0xa3d0	0x06	SpiritD		ANI_NOD	
0xa400	0x98	SpiritD		...!	mp_1099 0xb874
0xa490	0xC1	System		received.	mp_0000 0x12596
0xa509	0x06	ALTO		ANI_SURPRISE_WEAK	
0xa538	0x98	ALTO		Oh... Is this...an advance payment?	
0xa5a7	0x06	ALTO		ANI_SCRATCH_HEAD	
0xa5d5	0x98	ALTO		Ahaha, you're pretty organized...	
0xa60c	0x06	NOI		ANI_GUTSPOSE	
0xa64d	0x98	NOI	#6A	Nayuta, let's get going to	
				the spring of Heavenly	
				Mountain right away!	
0xa6d4	0x98	NOI	#6A	Nayuta, let's get going to	mp_3099 0xa64d
				the spring of Heavenly	
				Mountain right away!	
0xa787	0x07	System	#3C	Quest [A Nymph's Request] started!	
0xa88b	0x06	ALTO		ANI_WAIT	
0xa8b1	0x06	NOI		ANI_WAIT	
quest_SpiritD_End					
0xac40	0x06	ALTO		ANI_WAIT	
0xac66	0x06	NOI		ANI_WAIT	
0xac91	0x6B	SpiritD		Exclamation	
0xacc6	0x98	SpiritD		......!	
0xacf0	0x06	SpiritD		ANI_NOD	
0xad18	0x98	SpiritD		..........	
				.........!!	
0xad74	0x6B	SpiritD		Unknown	
0xada9	0x06	ALTO		ANI_GESTURE2	
0xadd3	0x98	ALTO		Ahaha, somehow, it seems	
				kind of impressed...	
0xae1f	0x06	NOI		ANI_NOD	
0xae5b	0x98	NOI	#6A	Yes, it says it feels the presence	mp_1099 0xc0cc
				of that monster disappearing.	
0xaebd	0x06	NOI		ANI_GESTURE1	
0xaee6	0x98	NOI	#6A	It says, 'Thank you.'	mp_1099 0xc157
0xaf2b	0x98	NOI	#6A	Yeah, it senses the presence	mp_1099 0xc19c
				of that monster disappearing.	
0xaf89	0x06	NOI		ANI_GESTURE1	
0xafb2	0x98	NOI	#6A	It says, 'Thank you.'	mp_1099 0xc157
0xafef	0x6B	SpiritD		Ellipsis	
0xb08d	0x98	SpiritD		....	
0xb0b4	0xC1	System		received.	mp_0000 0x12596
0xb12d	0x6B	SpiritD		Unknown	
0xb162	0x06	ALTO		ANI_JOY	
0xb187	0x98	ALTO		Haha, thanks. I'll accept this.	mp_1099 0xc3ff
0xb209	0x06	NOI		ANI_THINK	
0xb247	0x98	NOI	#6A	We're going to have to go...	mp_1099 0xc4bf
				Please, keep up the good work.	
0xb2b0	0x06	NOI		ANI_GESTURE1	
0xb2d9	0x98	NOI	#6A	If you have any more	mp_1099 0xc551
				problems, please contact us.	
0xb33c	0x98	NOI	#6A	We're going to have to go...	mp_1099 0xc4bf
				Please, keep up the good work.	
0xb3a5	0x06	NOI		ANI_GESTURE1	
0xb3ce	0x98	NOI	#6A	If you have any more	mp_1099 0xc646
				problems, contact us, okay?.	
0xb45c	0x06	SpiritD		ANI_NOD	
0xb48c	0x98	SpiritD		...!	mp_1099 0xb874
0xb4e7	0x07	System	#3C	Quest [A Nymph's Request] completed!	
0xb5d5	0x06	ALTO		ANI_WAIT	
0xb5fb	0x06	NOI		ANI_WAIT	
QS_83_boss_start					
0xb835	0x06	mahouzin		ANI_STOP2	
0xb874	0x6B	ALTO		Exclamation	
BossJumpEx					
0xbc98	0x06	e151L		ANI_UP	
0xbcbd	0x06	e151R		ANI_UP	
QS_83_dead_boss					
0xc23e	0x06	PLAYER1		ANI_WAIT	
0xcb08	0x06	ALTO		ANI_WAIT	
0xcfde	0x98	NOI	#6A	Phew...	mp_1099 0xda89
0xd007	0x06	NOI		ANI_GUTSPOSE	
0xd030	0x98	NOI	#6A	Looks like we were able	mp_1099 0xdadb
				to defeat this idol, too.	
0xd085	0x06	ALTO		ANI_NOD	
0xd0aa	0x98	ALTO		Yeah, let's keep this up!	mp_1099 0xdb55
0xd0fd	0x98	ALTO		S-So that was a resurrected idol...	mp_1099 0xdba8
				It was a lot tougher than I expected...	
0xd16b	0x06	NOI		ANI_GESTURE1	
0xd194	0x98	NOI	#6A	Defeating an idol this powerful...!	mp_1099 0xdc3f
				Nayuta, you're amazing!	
0xd20d	0x06	ALTO		ANI_GESTURE2	
0xd237	0x98	ALTO		Haha, I had a lot of	mp_1099 0xdce2
				help from you, Noi.	
0xd27f	0x98	ALTO		There should be three idols	mp_1099 0xdd2a
				remaining that are still loose...	
0xd2de	0x06	ALTO		ANI_JOY	
0xd303	0x98	ALTO		Noi, let's keep up	mp_1099 0xddae
				the good work!!	
0xd354	0x98	NOI	#6A	...Yeah!	mp_0001c 0x406c
QS_83_quest_end					
0xd47b	0x06	ALTO		ANI_NOD	
0xd4a0	0x98	ALTO		...Seems like we've now defeated	mp_1099 0xdf28
				all the resurrected idols.	
0xd520	0x06	NOI		ANI_GUTSPOSE	
0xd549	0x98	NOI	#6A	You're so amazing, Nayuta!	mp_1099 0xdfd1
0xd58e	0x98	NOI	#6A	At this rate, Lord Cygna	mp_1099 0xe016
				and Lady Creha can...	
0xd5fe	0x06	ALTO		ANI_JOY	
0xd623	0x98	ALTO		Yeah, I'm sure we can save them.	mp_1099 0xe0ab
0xd66d	0x98	ALTO		I feel like we grew a lot stronger	mp_1099 0xe0f5
				while fighting the idols.	
0xd6e2	0x06	NOI		ANI_NOD	
0xd706	0x98	NOI	#6A	I agree...	mp_0115 0x172f0
