mp_3099
first_init
init
bossfirst
0x1068	0xCE	Objective		Out of our way! Nayuta, let's finish it together!	
QS_44_quest_end
0x61d8	0x98	Algorl		...Nayuta, Noi.	
				This presence...	
				Could it be...?	
0x6228	0x06	ALTO		ANI_NOD	
0x624d	0x98	ALTO	#6A	Yes, somehow, we were able	
				to restore light to the jewel.	
0x62cc	0x06	ALTO		ANI_HANDOVER	
0x6322	0x40	UNDEF		Handed over the colored jewel.	
0x63e1	0x98	Algorl		Certainly...	
				You have done well in gathering	
				my scattered power for me.	
0x6448	0x06	NOI		ANI_GESTURE2	
0x6471	0x98	NOI	#6A	With this, your power will	
				be restored to normal, yes?	
0x64e7	0x98	Algorl		Hmm.	
				Please wait for a while.	
0x6545	0x40	UNDEF		Algol took the colored jewel	
				into his body.	
0x6598	0x06	Algorl		ANI_USE_POWER	
0x660d	0x98	Algorl	#0W	..................	
				...Koooooooo...	
0x66a6	0x6B	ALTO		Unknown	
0x66d8	0x6B	NOI		Unknown	
0x6711	0x06	ALTO		ANI_SURPRISE_WEAK	
0x6740	0x98	ALTO	#6A	T-This is...!	mp_0115a 0x6232
0x6770	0x06	NOI		ANI_GESTURE1	
0x6799	0x98	NOI	#6A	Algol's colossal power is having	
				an effect on the surroundings!	
0x6801	0x98	Algorl	#0W	..................	mp_0002 0x1b64
				..................	
0x684a	0x98	Algorl	#18S	.........Kaa!!	
0x69b6	0x6B	ALTO		Exclamation	
0x69e8	0x6B	NOI		Exclamation	
0x6a19	0x06	ALTO		ANI_SURPRISE	
0x6a43	0x98	ALTO	#6A	A-Amazing!	
				Even I understand that his	
				tremendous power is overflowing!!	
0x6aab	0x06	NOI		ANI_JOY	
0x6acf	0x98	NOI	#6A	It could blow me away!	
0x6b07	0x06	NOI		ANI_WAIT	
0x6ba7	0x06	Algorl		ANI_WAIT	
0x6bcf	0x98	Algorl		...Hmm, that's about it.	
0x6c09	0x6B	NOI		Unknown	
0x6c3a	0x06	NOI		ANI_GUTSPOSE	
0x6c63	0x98	NOI	#6A	W-We did it!	
				Algol's power is restored!	
0x6cab	0x98	NOI	#6A	Now that Algol has his true power,	
				we don't have to be afraid of Zext anymore!	
0x6d39	0x98	Algorl		...No, it is not that simple.	
0x6d78	0x98	Algorl		Certainly, with my power,	
				it seems I can keep him out	
				for a short time, but..	
0x6de5	0x98	Algorl		In the end, that is all I can do. Though the	
				head of the Mythos may have gone bad,	
				he is the existence that created this world of Terra.	
0x6e8f	0x98	Algorl		As for this matter...	
				Before long, a plan that can settle	
				the power of one warden will come to pass.	
0x6f13	0x06	NOI		ANI_DEJECTED	
0x6f3c	0x98	NOI	#6A	T-That's right...	
0x6f6f	0x06	ALTO		ANI_GESTURE1	
0x6f99	0x98	ALTO	#6A	Certainly...We don't know	
				their objective, and	
				we can't rest easy.	
0x701c	0x98	Algorl		...In any case,	
				Thanks to your efforts, my power	
				has completely recovered.	
0x7086	0x98	Algorl		Allow me to thank you,	
				Nayuta and Noi.	
0x70cd	0x06	ALTO		ANI_DENY	
0x70f3	0x98	ALTO	#6A	No, it was the	
				natural thing to do.	
0x7138	0x06	NOI		ANI_GESTURE1	
0x7161	0x98	NOI	#6A	In our hour of need, I want	
				you to use that power to save us!	
0x71d6	0x98	Algorl		Hmm...You can depend on me.	
0x7213	0x98	Algorl		And...	
				Please accept this.	
0x7266	0xC1	System		received.	mp_0000 0x12596
0x73b9	0x07	System	#1C	Noi learned the fall magic, #4C『#786IGround Terra』.	
0x7437	0x06	NOI		ANI_GESTURE2	
0x7460	0x98	NOI	#6A	This art is...!	
				It looks amazingly strong!	
0x74ab	0x98	Algorl		I gave a portion of my recovered	
				power to you, Noi.	
				...Use it freely.	
0x7512	0x06	ALTO		ANI_THANKS	
0x753a	0x98	ALTO	#6A	Haha, thank you very much.	
0x75b9	0x98	Algorl		Beyond this point, countless trials	mp_3099 0x377b
				are waiting for you...	
				Never give up.	
0x7622	0x98	Algorl		For Terra, and for Master Kureha...	mp_3099 0x37e4
				Please take care of them.	
0x76b4	0x07	System	#3C	Quest [Recovering Lost Power] completed!	
QS_44_quake_start
QS_44_quake_end
QS_54_talk_Algorl
0x7bb2	0x06	Algorl		ANI_GESTURE2	
0x7bde	0x98	Algorl		So it is Noi and Nayuta...	
				Somehow, it seems there is	
				something you want to ask me.	
0x7c51	0x06	ALTO		ANI_GESTURE2	
0x7c7b	0x98	ALTO	#6A	Yes, I brought a request	
				for you, Algol.	
0x7cc5	0x40	UNDEF		Nayuta explained about Nemeas' spirits, and tried	
				asking if he has any idea where they are.	
0x7d40	0x98	Algorl		Is that so...	
				Then Nemeas must be suffering.	
0x7d8d	0x06	Algorl		ANI_NOD	
0x7db4	0x98	Algorl		Very well. I shall lend you my	
				power as warden.	
0x7e04	0x06	NOI		ANI_NOD	
0x7e28	0x98	NOI	#6A	Thank you, Algol!	
0x7e5b	0x06	NOI		ANI_THINK	
0x7e81	0x98	NOI	#6A	If there is the presence of a spirit	
				on this continent, please tell us where	
				it is...	
0x7ef6	0x06	NOI		ANI_WAIT	
0x7f1b	0x06	Algorl		ANI_NOD	
0x7f42	0x98	Algorl		Acknowledged.	
				Please wait a moment...	
0x7f88	0x06	Algorl		ANI_USE_POWER	
0x8085	0x98	Algorl	#2W	Koooo...	
0x80ba	0x6B	Algorl		Exclamation	
0x8130	0x06	Algorl		ANI_NOD	
0x8157	0x98	Algorl		This presence...	
				Yes, there's no mistake.	
0x81c7	0x98	Algorl		It is certainly the presence of	
				Nemeas' spirit──	
				As expected, it was on this continent.	
0x8240	0x06	ALTO		ANI_GESTURE1	
0x826a	0x98	ALTO	#6A	Thank goodness...You helped	
				us faster than expected.	
0x82c0	0x98	Algorl		But, I only sensed	
				one presence...	
0x8303	0x06	Algorl		ANI_GESTURE2	
0x832f	0x98	Algorl		Anyway, I will tell you	
				the location.	
0x837f	0x98	Algorl		It is certainly the presence of	
				Nemeas' spirit──	
				It seems there is only one on this continent.	
0x83ff	0x06	ALTO		ANI_GESTURE1	
0x8429	0x98	ALTO	#6A	Thank goodness...Do you know the location?	mp_1099 0x98b9
0x8478	0x06	Algorl		ANI_GESTURE1	
0x84a4	0x98	Algorl		The presence is near the "Wind-	
				Cutting Valley" in the	
				southwest part of Heimmel.	
0x8515	0x98	Algorl		Because the presence is considerably	
				panicked, you should set the season	
				to normal and go.	
0x858f	0x06	NOI		ANI_NOD	
0x85b3	0x98	NOI	#6A	Understood.	
				We'll make the season "Autumn"	
				and try searching!	
0x8610	0x06	ALTO		ANI_JOY	
0x8635	0x98	ALTO	#6A	Algol, thank you very much!	
0x8673	0x06	Algorl		ANI_NOD	
0x869a	0x98	Algorl		Yes, you should	
				save it immediately.	
quest_SpiritD
0x8924	0x98	SpiritD		.......	
				...～～～...!	
0x8b71	0x06	ALTO		ANI_WAIT	
0x8b97	0x06	NOI		ANI_WAIT	
0x8bc2	0x6B	SpiritD		Exclamation	
0x8bf7	0x98	SpiritD		.........!	mp_1099 0xa0ad
0x8c24	0x06	SpiritD		ANI_NOD	
0x8c4c	0x98	SpiritD		...! .........	
				...............!	
0x8c8d	0x6B	SpiritD		Coldsweat	
0x8cc2	0x06	SpiritD		ANI_DENY	
0x8ceb	0x98	SpiritD		...～.........	mp_2099 0x6ef5
				......～～～...!	
0x8d82	0x06	ALTO		ANI_GESTURE2	
0x8dac	0x98	ALTO		Hmm, it seems it's	mp_1099 0xa22d
				frantically conveying something, but...	
0x8e05	0x06	NOI		ANI_SURPRISE	
0x8e46	0x98	NOI	#6A	N-No way...Somehow, it seems a very	mp_1099 0xa2c7
				ferocious monster has appeared	
				on this continent!	
0x8ebb	0x06	NOI		ANI_COMPLAIN	
0x8ee4	0x98	NOI	#6A	And it's very troubled,	mp_1099 0xa365
				and wants you to help...is what it's saying!	
0x8f53	0x98	NOI	#6A	Hmm, hmm...Somehow,	mp_1099 0xa3d4
				it seems a very ferocious monster	
				has appeared on this continent!	
0x8fc8	0x06	NOI		ANI_COMPLAIN	
0x8ff1	0x98	NOI	#6A	And it's very troubled,	mp_1099 0xa365
				and wants you to help...is what it's saying!	
0x9058	0x06	ALTO		ANI_THINK2	
0x9080	0x98	ALTO		A ferocious monster...	mp_1099 0xa501
				Could that be one of the ones	
				that stole your power, Noi?	
0x90ee	0x06	ALTO		ANI_WAIT	
0x9114	0x06	SpiritD		ANI_DENY	
0x913d	0x98	SpiritD		..........	mp_1099 0xa5be
				............!	
0x9177	0x06	SpiritD		ANI_NOD	
0x919f	0x98	SpiritD		...～～～～...	mp_1099 0xa620
0x91d0	0x06	NOI		ANI_DENY	
0x920d	0x98	NOI	#6A	That's not the case, but it	mp_1099 0xa68e
				has a similar power...	
				is what it's saying.	
0x9274	0x06	NOI		ANI_COMPLAIN	
0x929d	0x98	NOI	#6A	"Because of the influence of the abnormalities,	mp_1099 0xa71e
				 unthinkable life forms have been born and are	
				 wreaking havoc."	
0x932d	0x98	NOI	#6A	"Like this, many continent	mp_1099 0xa7ae
				animals will die!" it says.	
0x9384	0x06	NOI		ANI_DEJECTED	
0x93ad	0x98	NOI	#6A	Normally, this one is patrolling	mp_1099 0xaa58
				the continent, but...	
				it seems they can't stop themselves.	
0x9432	0x98	NOI	#6A	That's not the case, but it	
				it seems it has a similar power.	
0x948f	0x06	NOI		ANI_COMPLAIN	
0x94b8	0x98	NOI	#6A	"Because of the influence of the abnormalities,	mp_1099 0xa71e
				 unthinkable life forms have been born and are	
				 wreaking havoc."	
0x9548	0x98	NOI	#6A	"Like this, many continent	mp_1099 0xa7ae
				animals will die!" it says.	
0x959f	0x06	NOI		ANI_DEJECTED	
0x95c8	0x98	NOI	#6A	Normally, this one is patrolling	mp_1099 0xaa58
				the continent, but...	
				it seems they can't stop themselves.	
0x9645	0x06	SpiritD		ANI_NOD	
0x966d	0x98	SpiritD		.......	mp_1099 0xaafd
0x9697	0x06	ALTO		ANI_THINK	
0x96be	0x98	ALTO		Because of the abnormalities...	mp_1099 0xab4e
				it said.	
0x9705	0x06	ALTO		ANI_NOD	
0x972a	0x98	ALTO		These children are troubled.	mp_1099 0xabba
0x9766	0x06	NOI		ANI_NOD	
0x97a2	0x98	NOI	#6A	Yes...Because the temple remains	mp_1099 0xac32
				stopped, the spirits are combining	
				their strength to support this continent.	
0x982f	0x06	NOI		ANI_DEJECTED	
0x9858	0x98	NOI	#6A	However, because the spirits'	mp_1099 0xace8
				power is small, they have many	
				troubles...	
0x98c0	0x06	NOI		ANI_GESTURE1	
0x98e9	0x98	NOI	#6A	Hey, Nayuta.	mp_1099 0xad79
				Here's a request from me too.	
				Will you help this little one?	
0x995c	0x98	NOI	#6A	Yeah...the temple has stopped,	mp_1099 0xadec
				and now the spirits are doing their	
				best to support this continent.	
0x99de	0x06	NOI		ANI_DEJECTED	
0x9a07	0x98	NOI	#6A	But, because they don't have	mp_1099 0xae97
				much power, they have many troubles.	
0x9a69	0x06	NOI		ANI_GESTURE1	
0x9a92	0x98	NOI	#6A	Hey Nayuta, I have a request for you.	mp_1099 0xaf22
				Will you help this little one?	
0x9af9	0x06	ALTO		ANI_GUTSPOSE	
0x9b23	0x98	ALTO		Yeah, of course!	mp_1099 0xafb3
0x9b53	0x06	ALTO		ANI_GESTURE2	
0x9b7d	0x98	ALTO		Hey you, will you tell us	mp_1099 0xb00d
				where that monster appeared?	
0x9bdc	0x06	ALTO		ANI_GESTURE2	
0x9c06	0x98	ALTO		It seems it's frantically	mp_1099 0xb096
				conveying something...	
0x9c55	0x06	ALTO		ANI_THINK2	
0x9c7d	0x98	ALTO		Noi, could it be?	mp_1099 0xb10d
0x9cae	0x06	ALTO		ANI_WAIT	
0x9cd4	0x06	NOI		ANI_NOD	
0x9d10	0x98	NOI	#6A	Yes, a ferocious monster has appeared	mp_1099 0xb1a0
				on this continent, is what it's saying.	
0x9d7e	0x06	NOI		ANI_GESTURE1	
0x9da7	0x98	NOI	#6A	And it's very troubled, and	mp_1099 0xb237
				wants you to help...is what it says!	
0x9e12	0x98	NOI	#6A	Hmm, so it looks like a ferocious	mp_1099 0xb2a2
				monster has appeared on this continent	
				too.	
0x9e7f	0x06	NOI		ANI_GESTURE1	
0x9ea8	0x98	NOI	#6A	And it's very troubled, and	mp_1099 0xb237
				wants you to help...is what it says!	
0x9f0b	0x06	ALTO		ANI_NOD	
0x9f30	0x98	ALTO		Yes, understood.	mp_1099 0xb3c0
				The Handyman Shop will accept	
				this request.	
0x9f8a	0x06	ALTO		ANI_GESTURE2	
0x9fb4	0x98	ALTO		Will you tell us the location	mp_1099 0xb444
				the monster appeared?	
0xa008	0x6B	SpiritD		Surprise	
0xa03d	0x06	SpiritD		ANI_NOD	
0xa06d	0x98	SpiritD		...～～～...!	
0xa09d	0x06	NOI		ANI_GESTURE2	
0xa0de	0x98	NOI	#6A	It says it appeared in "Spring" of the	
				"Sacred Mountain that Pierces Heaven,"	
				in the midwest part of Heimmel!	
0xa16b	0x98	NOI	#6A	We don't need to hurry, because	mp_1099 0xb5ed
				when we have time, we should proceed	
				carefully, it says.	
0xa1ed	0x98	NOI	#6A	It seems it appeared in "Spring" of the	
				"Sacred Mountain that Pierces Heaven,"	
				in the midwest part of Heimmel!	
0xa27b	0x98	NOI	#6A	We don't need to hurry, because	mp_1099 0xb6ef
				when we have time, it wants us to proceed	
				carefully.	
0xa2f1	0x06	ALTO		ANI_NOD	
0xa316	0x98	ALTO		Understood. If we find it,	mp_1099 0xb78a
				we'll eliminate it.	
0xa363	0x06	ALTO		ANI_GESTURE2	
0xa38d	0x98	ALTO		We should report to you after that?	mp_1099 0xb801
0xa3d0	0x06	SpiritD		ANI_NOD	
0xa400	0x98	SpiritD		...!	mp_1099 0xb874
0xa490	0xC1	System		received.	mp_0000 0x12596
0xa509	0x06	ALTO		ANI_SURPRISE_WEAK	
0xa538	0x98	ALTO		Ah...Maybe this is advance payment?	
				(In Japanese, 39 - "san-kyuu"	
				 - "Thanks!")	
0xa5a7	0x06	ALTO		ANI_SCRATCH_HEAD	
0xa5d5	0x98	ALTO		Ahaha, hang in there...	
0xa60c	0x06	NOI		ANI_GUTSPOSE	
0xa64d	0x98	NOI	#6A	Nayuta, let's try going to	
				"Spring" of the "Sacred Mountain that	
				Pierces Heaven" immediately!	
0xa6d4	0x98	NOI	#6A	Nayuta, let's try going to	mp_3099 0xa64d
				"Spring" of the "Sacred Mountain that	
				Pierces Heaven" immediately!	
0xa787	0x07	System	#3C	Quest [Sacred Mountain Spirit's Request] started!	
0xa88b	0x06	ALTO		ANI_WAIT	
0xa8b1	0x06	NOI		ANI_WAIT	
quest_SpiritD_End
0xac40	0x06	ALTO		ANI_WAIT	
0xac66	0x06	NOI		ANI_WAIT	
0xac91	0x6B	SpiritD		Exclamation	
0xacc6	0x98	SpiritD		......!	
0xacf0	0x06	SpiritD		ANI_NOD	
0xad18	0x98	SpiritD		..........	
				.........!!	
0xad74	0x6B	SpiritD		Unknown	
0xada9	0x06	ALTO		ANI_GESTURE2	
0xadd3	0x98	ALTO		Ahaha, somehow,	
				it seems it's deeply moved...	
0xae1f	0x06	NOI		ANI_NOD	
0xae5b	0x98	NOI	#6A	Yes, it says it senses the disappearance	mp_1099 0xc0cc
				of the monster presence.	
0xaebd	0x06	NOI		ANI_GESTURE1	
0xaee6	0x98	NOI	#6A	It's saying, "Thank you."	mp_1099 0xc157
0xaf2b	0x98	NOI	#6A	Yeah, it looks like the presence of that	mp_1099 0xc19c
				monster disappeared.	
0xaf89	0x06	NOI		ANI_GESTURE1	
0xafb2	0x98	NOI	#6A	It's saying, "Thank you."	mp_1099 0xc157
0xafef	0x6B	SpiritD		Ellipsis	
0xb08d	0x98	SpiritD		....	
0xb0b4	0xC1	System		received.	mp_0000 0x12596
0xb12d	0x6B	SpiritD		Unknown	
0xb162	0x06	ALTO		ANI_JOY	
0xb187	0x98	ALTO		Haha, thanks. I'll accept it.	mp_1099 0xc3ff
				(In Japanese, 5963 - "go-ku-ro-san"	
				 - "Thanks for your hard work!")	
0xb209	0x06	NOI		ANI_THINK	
0xb247	0x98	NOI	#6A	We have to go already...	mp_1099 0xc4bf
				Please do your best	
				with your work from here on.	
0xb2b0	0x06	NOI		ANI_GESTURE1	
0xb2d9	0x98	NOI	#6A	If something troubling happens again,	mp_1099 0xc551
				please consult us.	
0xb33c	0x98	NOI	#6A	We have to go already...	mp_1099 0xc4bf
				Please do your best	
				with your work from here on.	
0xb3a5	0x06	NOI		ANI_GESTURE1	
0xb3ce	0x98	NOI	#6A	If something troubling happens again,	mp_1099 0xc646
				consult us, OK?	
0xb45c	0x06	SpiritD		ANI_NOD	
0xb48c	0x98	SpiritD		...!	mp_1099 0xb874
0xb4e7	0x07	System	#3C	Quest [Sacred Mountain Spirit's Request] completed!	
0xb5d5	0x06	ALTO		ANI_WAIT	
0xb5fb	0x06	NOI		ANI_WAIT	
QS_83_boss_start
0xb835	0x06	mahouzin		ANI_STOP2	
0xb874	0x6B	ALTO		Exclamation	
BossJumpEx
0xbc98	0x06	e151L		ANI_UP	
0xbcbd	0x06	e151R		ANI_UP	
QS_83_dead_boss
0xc23e	0x06	PLAYER1		ANI_WAIT	
0xcb08	0x06	ALTO		ANI_WAIT	
0xcfde	0x98	NOI	#6A	Phew...	mp_1099 0xda89
0xd007	0x06	NOI		ANI_GUTSPOSE	
0xd030	0x98	NOI	#6A	It looks like we were able	mp_1099 0xdadb
				to defeat this idol, too.	
0xd085	0x06	ALTO		ANI_NOD	
0xd0aa	0x98	ALTO		Yeah, let's keep going like this!	mp_1099 0xdb55
0xd0fd	0x98	ALTO		S-So that was a revived idol just now...	mp_1099 0xdba8
				It was tougher than I expected, but...	
0xd16b	0x06	NOI		ANI_GESTURE1	
0xd194	0x98	NOI	#6A	Nayuta, you're amazing!	mp_1099 0xdc3f
				You were able to do a thing like	
				defeat this powerful an idol...!	
0xd20d	0x06	ALTO		ANI_GESTURE2	
0xd237	0x98	ALTO		Haha, it's because I had your help, Noi.	mp_1099 0xdce2
0xd27f	0x98	ALTO		There should be three remaining	mp_1099 0xdd2a
				idols that are out of control...	
0xd2de	0x06	ALTO		ANI_JOY	
0xd303	0x98	ALTO		Noi, let's brace ourselves	mp_1099 0xddae
				for what's coming next!	
0xd354	0x98	NOI	#6A	...Yeah!	mp_0001c 0x406c
QS_83_quest_end
0xd47b	0x06	ALTO		ANI_NOD	
0xd4a0	0x98	ALTO		...With this, it seems that we've defeated	mp_1099 0xdf28
				all of the revived idols.	
0xd520	0x06	NOI		ANI_GUTSPOSE	
0xd549	0x98	NOI	#6A	As expected, you're amazing Nayuta!	mp_1099 0xdfd1
0xd58e	0x98	NOI	#6A	If we keep going like this,	mp_1099 0xe016
				both Master Cygna and Master Kureha will...	
0xd5fe	0x06	ALTO		ANI_JOY	
0xd623	0x98	ALTO		Yeah, I'm sure we'll be able to save them.	mp_1099 0xe0ab
0xd66d	0x98	ALTO		While we were fighting the idols,	mp_1099 0xe0f5
